comment,CAMERA,SCREEN,GENERAL,STORAGE,PERFORMANCE,SERACC,BATTERY,PRICE,DESIGN,FEATURES
Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,0,0,3,0,0,3,0,2,0,0
"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",3,2,3,0,0,0,3,2,0,3
"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình",0,0,0,0,3,3,0,0,0,1
"Máy rất tốt trong tầm giá. Pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. Còn nv phục vụ nhiệt tình và chu đáo",2,3,3,0,3,3,3,2,0,1
"Mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",0,0,1,0,1,0,0,0,0,1
"Sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",3,0,3,0,2,0,1,0,0,0
Dùng ok.. Mượt k nóng..( đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng) Nhân viên nhiệt tình..,0,0,3,0,3,3,0,0,0,0
"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.",0,0,0,0,0,0,0,0,0,1
Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,0,0,0,0,1,0,0,0,0,0
"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",0,0,0,0,1,0,1,2,0,0
Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,0,0,3,0,3,0,3,2,0,0
Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,0,0,0,0,0,0,3,0,0,0
Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,0,0,0,0,1,0,0,0,0,0
"Tất cả mọi thứ đều ổn hết: màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. 
Nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. Tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. 
Thêm 1 cái nhỏ xíu xiu : mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. Tức ghê 🥴🥴",0,3,3,0,3,0,3,1,2,0
"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",3,0,0,0,3,0,3,0,3,0
"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )",0,3,0,0,2,2,3,0,0,3
Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,0,0,0,0,3,3,3,3,0,0
"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",1,0,1,0,0,0,3,2,0,0
"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",1,0,0,0,3,0,0,0,0,0
"Mới dùng đc tầm nửa tháng thấy khá là OK mượt
Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh",0,0,3,0,3,0,3,0,0,0
"Mình mua máy samsung a20s được 4 ngày rồi. Nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. Chụp hình đẹp, máy rất mượt.
Chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ).",3,0,3,0,3,1,3,2,0,1
Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,0,0,3,0,1,0,0,0,0,0
"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",0,0,3,0,0,3,2,0,2,0
Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,1,0,1,0,1,0,1,0,0,0
Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,0,1,0,0,0,2,0,0,0,1
"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",0,0,0,0,0,0,0,3,0,1
"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",0,0,3,0,0,0,3,0,0,2
Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,0,0,0,0,0,1,0,0,0,0
Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,0,0,3,0,3,0,3,2,0,0
"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn 🥰🥰🥰",3,3,0,0,0,3,0,3,3,3
"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi",3,0,3,0,3,0,3,0,0,0
"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê",3,1,0,0,1,1,1,0,0,0
Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,0,0,0,0,1,0,0,0,0,1
"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa",2,3,0,0,1,0,2,0,3,0
Sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,0,0,0,0,0,0,0,0,0,0
Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,0,0,0,0,0,3,0,0,3,0
"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi  , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.",0,0,0,0,1,0,0,0,3,1
"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.",0,0,1,0,3,0,2,3,0,0
Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,0,0,0,0,0,0,1,0,0,0
mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,0,1,0,0,3,0,0,0,0,0
