comment,facility,lecturer,others,training_program
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",0,0,0,1
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",1,0,0,0
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",0,0,0,1
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,1,0,0,0
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,0,1,0,0
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",0,0,0,1
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",0,3,0,0
bài tập rất hay .,0,0,0,3
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,0,1,0,0
"mong thầy vui tính , gần gũi với sinh viên hơn .",0,3,0,0
"giáo viên vui tính , hòa đồng , nhiệt tình .",0,3,0,0
cung cấp kiến thức trọng tâm .,0,0,0,3
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",0,0,0,2
giáo viên có phong cách giảng dạy nghiêm túc .,0,3,0,0
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",0,3,0,0
có khả năng truyền đạt tốt .,0,3,0,0
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,0,0,0,1
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,0,0,0,1
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,0,1,0,0
dạy tốt đúng trọng tâm những gì cần biết .,0,3,0,0
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",0,3,0,0
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",0,0,1,0
cơ mà em học môn này em hiểu colonlove .,0,0,3,0
thiếu kinh nghiệm truyền đạt .,1,0,0,0
bài giảng thú vị .,0,0,0,3
em nghĩ nội dung thực hành nên gần với đồ án hơn .,0,0,0,1
giảng viên giảng bài kỹ .,0,3,0,0
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",0,0,0,3
ít chú trọng phần ngữ pháp .,0,0,0,1
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",0,1,0,0
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",0,3,0,0
cách dạy sáng tạo .,0,3,0,0
em rất hài lòng với cô .,0,3,0,0
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,0,0,0,1
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,0,0,0,1
giảng dạy tốt và có tâm .,0,3,0,0
dạy lý thuyết hơi nhiều .,0,1,0,0
giảng viên chấm bài quy chụp theo kết quả .,0,2,0,0
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",0,0,0,1
giảng viên vui tính dễ tương tác với sinh viên .,0,3,0,0
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",0,3,0,0
không có gì đặc biệt .,0,0,2,0
thầy cho làm các bài tập tại lớp trong khi sinh viên chưa biết gì về vấn đề đó .,0,1,0,0
"giảng viên dạy tận tâm , nhiệt tình , dễ hiểu .",0,3,0,0
cô thật nhiệt tình .,0,0,0,3
phòng thực hành tốt .,3,0,0,0
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",0,0,1,0
giảng viên rất tận tâm .,0,3,0,0
phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe .,0,0,0,1
"thầy bận nhiều nên cũng nghỉ nhiều , hi vọng thầy có thể sắp xếp thời gian .",0,1,0,0
giáo viên sử dụng giờ trên lớp hiệu quả .,0,3,0,0
chán .,0,1,0,0
"thầy nhiệt tình , tận tâm giúp đỡ sinh viên .",0,3,0,0
"dạy quá chậm , quá cặn kẽ .",0,1,0,0
thầy wzjwz174 ít cho bài tập về nhà .,0,1,0,0
"giảng viên tận tâm , nhiệt tình , hỗ trợ giải đáp thắc mắc môn học cho sinh viên .",0,3,0,0
"nên đi sâu vào vấn đề , giúp sinh viên hiểu tốt môn học , và nên có những ứng dụng cụ thể mà môn học đem lại .",0,0,0,1
làm bài tập .,0,0,2,0
cứ ngỡ được 10 điểm là chắc chắn rồi .,0,0,0,1
thêm phòng thiết bị để thực hành .,1,0,0,0
điểm .,0,0,2,0
"giáo viên tốt bụng , vui tính .",0,3,0,0
"slide quá khó hiểu , nhiều chỗ không giải thích rõ ràng , đặc biệt là các bài hướng dẫn thực hành .",0,0,0,1
"nói rõ mục tiêu cũng như các bước làm của lab , khối lượng bài tập vừa phải .",0,3,0,0
"phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập , cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn .",1,0,0,0
bài tập không cho ví dụ về nhà để xem lại .,0,0,0,1
giảng viên thiếu rất nhiều hoạt động để việc học bớt nhàm chán khi quá bám sát bài học .,0,1,0,0
"micro và các thiết bị âm thanh , máy chiếu cần nâng cấp .",1,0,0,0
"cách giảng bài dễ hiểu , hay .",0,3,0,0
đầy đủ kiến thức .,0,0,0,3
chất lượng phòng máy rất tệ .,1,0,0,0
"thầy giảng ngắn gọn , đầy đủ .",0,3,0,0
"tuy có phần chém gió kinh điển nhưng kiến thức , hiểu biết rộng , đặc biệt về công nghệ .",0,3,0,0
tạo niềm vui cho bọn em tuy lý thuyết bọn em rất đuối sức .,0,3,0,0
"nhiệt tình , truyền cảm hứng .",0,3,0,0
"thầy hài hước , giọng truyền cảm .",0,3,0,0
không hiểu cách chấm bài thi của thầy .,0,1,0,0
tiết học chưa được thu hút .,0,0,0,1
cần vào thẳng nội dung .,0,0,0,1
"thầy đẹp trai , dạy dễ hiểu , hay trò chuyện thực tiễn với học sinh .",0,3,0,0
"thầy quá bảo thủ , thầy luôn cho rằng ý kiến của thầy là đúng nhất , ngoài ra mọi ý kiến khác đều sai .",0,1,0,0
"giảng viên rất hòa đồng vui vẻ , nhiệt tình trong giảng dạy .",0,3,0,0
cần giải bài tập nhiều hơn .,0,0,0,1
"kiến thức thực tiễn của thầy rộng , giảng dạy vui vẻ .",0,3,0,0
"thầy rất nhiệt tình , nói rất nhiều đến khản giọng mà sức truyền tải không bằng thầy wzjwz159 .",0,3,0,0
kiến thức giảng dạy môn tiếng anh hầu như không giúp ích nhiều cho sinh viên trong việc tìm hiểu các tài liệu chuyên ngành .,0,0,0,1
"thấy rất hiền , rất chi là hơi trẻ con .",0,3,0,0
"giảng dạy hay , dễ hiểu , cuốn hút sinh viên .",0,3,0,0
"cách tìm kiếm chúng ở đâu , khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ .",0,0,0,1
"những phần trọng tâm bài tập thì cũng không nói được "" đây là phần quan trọng có trong đề thi các em cần chú ý "" .",0,0,0,1
"nghe , nói luyện tập cao .",0,0,0,3
sử dụng phần mềm crack .,0,0,0,1
nhiều khi dạy quá thời gian .,0,1,0,0
tuy dạy chậm giúp học sinh dễ hiêu tuy nhiên nhiều bài khó thì sẽ khiến sinh viên dễ chán .,0,1,0,0
"thầy vui tính , thương sinh viên , dạy dễ hiểu .",0,3,0,0
"dạy dễ hiểu , thân thiện .",0,3,0,0
có các phần ôn tập không liên tới bài kiểm tra .,0,1,0,0
không nên tổ chức thực hành hình thức 2 .,0,0,0,1
sự thân thiện và tận tình đối với học viên .,0,0,3,0
nên thay đổi hình thức khảo sát với môn học này thì môn học này không có lên lớp và chỉ có đến hạn thì báo cáo với giảng viên .,0,0,0,1
"em nghĩ chỉ nên bắt buộc các bài tập có dạng căn bản , còn bài tập tương tự thì chỉ khuyến khích sinh viên làm thêm .",0,0,0,1
thầy dạy rất hay ạ !,0,3,0,0
"không thống nhất trước về hình thức thi và làm bài tập , đến những tuần cuối cùng mới công bố .",0,0,0,1
nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán .,0,0,1,0
"chú ý giữ sức khỏe , nhất là cổ họng colonsmile .",0,0,1,0
"thầy tận tâm , nhiệt tình .",0,3,0,0
máy ở phòng thực hành quá tệ .,1,0,0,0
"giảng viên nhiệt tình , thân thiện .",0,3,0,0
"thầy truyền đạt rất tận tình , dễ hiểu lượng bài tập , nội dung thi hợp lý , vừa sức với sinh viên .",0,3,0,0
"em thấy những nội dung như vậy rất mơ hồ , có tính áp đặt suy nghĩ cho người học .",0,0,0,1
"cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới .",1,0,0,0
em thấy môn này nhiều lý thuyết không đáp ứng đủ trong việc làm đồ án .,0,0,0,1
hay bị về trễ colonsad .,0,1,0,0
"đề thi thực hành cần nêu yêu cầu cụ thể , rõ ràng hơn .",0,0,0,1
giọng của giảng viên rất khó nghe nên không thể nghe giảng hết những điều thầy nói .,0,1,0,0
"giảng dạy hay , nhiệt tình .",0,3,0,0
"dạy hơi nhiều , và hơi nhanh .",0,1,0,0
"cả năm toàn học vòng lặp "" if "" "" for "" "" while "" đến bữa cuối mới lơ mơ học được struct với tạo file header mà ra đề 5 điểm trong phần đó .",0,1,0,0
"gần gũi , thân thiện với sinh viên , khả năng truyền đạt kiến thức tốt .",0,3,0,0
giảng viên không có tính hài hước .,0,2,0,0
"thầy vui tính , giảng bài hay , đưa nhiều thông tin thực tế vào bài giảng .",0,3,0,0
có lúc thầy lạc đề .,0,1,0,0
"lần được học thầy , thấm nhiều thứ quá .",0,3,0,0
"môn học cần phân chia hợp lý giữa các phần , phần nào khó cần nhiều thời gian để học nó , phần nào đã học thì chỉ ra những điểm đặc biệt cũng như thời gian học phần đó rút ngắn lại để các phần chưa học khác sẽ có thời gian nhiều hơn .",0,0,0,1
"thực hành đúng tiêu chí môn học , đi từ dễ đến khó cho sinh viên học tập từng bước dễ hiểu , giảng viên tích cực giải đáp thắc mắc và hỗ trợ sinh viên trong giờ thực hành .",0,0,0,1
"dạy dễ hiểu , sâu rộng .",0,3,0,0
"nội dung tiết học còn lan man , cảm tưởng như thầy đang dạy về tiếng anh chuyên ngành , chứ không đào sâu về kỹ thuật .",0,1,0,0
giảng viên có cập nhật thông tin mới nhất về tình hình thực tế .,0,3,0,0
giáo viên rất nhiệt tình đối với sinh viên .,0,3,0,0
cảm thấy hứng thú khi lên lớp .,0,0,0,3
"cùng một kiến thức nhưng cách truyền đạt của thầy dễ hiểu hơn , phù hợp với đại đa số sinh viên và tất nhiên là hữu dụng cho các môn khác chứ không hề lan man , thiếu trọng tâm như các giảng viên toán khác .",0,0,0,3
nhiều lúc thầy vẫn nói lý thuyết nhiều gây nhàm chán .,0,1,0,0
"phần kiểm tra , thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành , viết code , làm project .",0,0,0,3
"do môn còn mới nên nhiều vấn đề trục trặc trong quá trình thực hành thầy vẫn chưa giải quyết được , nhưng vẫn rất ủng hộ thầy .",0,0,0,3
luôn đảm bảo giờ giấc trong tiết học .,0,3,0,0
"phòng lab chán lắm , hư hỏng hết cả .",1,0,0,0
"nội dung môn học còn khô , cứng !",0,0,0,1
cô nói hơi nhỏ nên hơi buồn ngủ .,0,1,0,0
có lúc dạy khó hiểu .,0,1,0,0
"sau khi đã học xong môn nhập môn điện tử , em thiết nghĩ môn học này cần có thêm những phần học về thực tế , để sinh viên chúng em có thêm động lực khi học những phần lý thuyết đôi khi "" khô khan "" và "" xa lạ "" đồng thời sẽ tạo được sự đam mê với bộ môn điện tử nói chung ngay từ những ngày đầu học "" nhập môn "" .",0,0,0,1
"giáo viên vui tính , tích cực .",0,3,0,0
"cơ sở dữ liệu năm nay đã kết hợp với thiết kế cơ sở dữ liệu rồi , kiến thức nhiều mà thi có phần trắc nghiệm nữa thì đánh giá kiến thức học được chưa đảm bảo cho lắm ạ .",0,0,0,1
nội dung có liên hệ nhiều với thực tế .,0,0,0,3
môn học chỉ nên thuyết trình tìm hiểu về egov không làm đồ án .,0,0,0,1
thực hành hình thức 2 khó có thể tham gia học thường xuyên lắm ạ !,0,0,0,1
"giáo viên luôn chia sẻ những ứng dụng của kiến thức đã học với thực tiễn , chia sẻ khá nhiều kinh nghiệm thực tế vô cùng bổ ích với sinh viên .",0,3,0,0
"em thấy rất hài lòng về môn học này , nên em không có ý kiến gì khác cả .",0,0,0,3
