comment,FOOD#PRICES,DRINKS#STYLE&OPTIONS,FOOD#STYLE&OPTIONS,SERVICE#GENERAL,RESTAURANT#MISCELLANEOUS,DRINKS#QUALITY,RESTAURANT#PRICES,LOCATION#GENERAL,DRINKS#PRICES,RESTAURANT#GENERAL,AMBIENCE#GENERAL,FOOD#QUALITY
- Ngon tuyệt vời luôn !,0,0,0,0,0,0,0,0,0,0,0,3
"- Ở quán Cơm chay Thuyền Viên.- Chỉ một từ thôi: NGON 💘👍- Vẫn rất giòn dù lúc tớ là 8h30 tối, ăn rất ngon, mùi lại thơm nữa. Nêm vừa ăn, ăn chung tương ớt rất ngon (không có tương xí muội)- Giá ok: 3k/cuốn.,",3,0,0,0,0,0,0,0,0,0,0,3
"- Ở Quảng, tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó,"" vậy nên thấy cái """"mì Quảng Bà Dzũ"""" đã cảm được chất của Đà Nẵng ngay từ cái nhìn đầu tiên rồi. - Ngoài mì Quảng"", quán còn rất nhiều món Quảng rất ngon như bún cá cam, bún bò Đà Nẵng (chỉ xài thịt bò, không có giò), bún mắm nêm, chè đậu ngự. Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng. - Đặt cái tên dễ làm người ta nao lòng, tô bé đẹp, tô bé cưng, cà phê tình mê, bún mắm tình đắm,... nhìn mà phì cười. - Quán rất thoáng mát, nếu đang vội, đừng tới đây ăn, mà hãy chờ lúc nào thong thả. - Quán gì đó - Muốn quên cũng khó., , ,",0,0,3,0,0,0,0,0,0,3,3,3
"- Quán tên là Cơm chay Thuyền Viên.- Ăn rất ổn, mùi thơm, rau cải giòn, mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn. Bị cái nước tương hơi dở. Nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu 👍- Giá cũng được : 18k/đĩa- Ở đây còn bán rất nhiều món chay khác như cơm, phở, hủ tiếu, bún thái, các món ăn vặt chay, phụ liệu nấu đồ chay,... ăn rất ổn., ,",3,0,3,0,0,0,0,0,0,0,0,2
"- Quán trong hẻm nhưng ngay đường Nguyễn Cư Trinh nên cực kì dễ tìm- Đồ ăn đa dạng, ngon nhất vẫn là nem nướng - Giá cả hợp lý- Nhân viên phục vụ nhiệt tình- Nhất định sẽ quay lại nè, , , , ,",3,0,3,3,0,0,0,3,0,3,0,3
"- Wagyu beef 360k/g x 750g at minimum for order nhen. Mình ăn medrare - Sauce Chi... đầu tiên trong menu : 70k sauce ớt chuông rau ,... với oliu oil- Sauce Blue cheese béo ngon hình như 100k , hơi nhẫn đắng- Cheese mặn đút lò ngon. Tên món  quên òi. 😜😜 hong nhớ giá luôn. Ngon thơm.- Salad A... ko nhớ tên. Size nhỏ 100k. Rau cải ngựa và hành khoanh, cheese, sốt hành. Nồng khó ăn.,",2,0,0,0,0,0,0,0,0,0,0,2
"-Đi vô đường Chấn Hưng xiú là quán bún thịt nướng Hải Đăng nổi tiếng hơn hẳn.( có nhiều quán lắm nha)-Quán thuộc dạng bình dân, sân nhà rộng,giữ xe miễn phí.-1 phần đầy đủ là 25k,( chả giò, thịt nướng, nem); có 1 xô nước mắm inox trên mỗi bàn lun,muốn ăn bao nhiêu thì múc :)) ( có thể gọi thêm dĩa bún thêm dành cho ạ ra sức ăn mặn)-Ăn được, phục vụ nhanh gọn, có điều không nóng hổi, do làm sẵn chuẩn bị trước.Hotgirl tính tiền hehe, , , , , , ,",3,0,2,3,3,0,0,2,0,3,3,3
"-Quán ngay khu trung tâm, khá đông, nhất vào giờ ăn trưa, phải book chỗ trước.-Phần như hình là 1/2 bánh tráng phơi sương thịt giò:102k(1 phần thì là 173k)-Dọn kèm bánh tráng phơi sương dẻo,rau rừng tươi xanh, dĩa đồ chua, nước mắm, mắm nêm.ngoài ra quán còn cọ món tủ là bánh canh (55k), cháo sò lông( cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết).Còn có chè khúc bạch không thể không nhắc ở HT.-Trà đá 4k/ly-Khăn lạnh 2kQuán nhiều khách, nhưng nhân ciên vô cùng niềm nở, dễ thương nha ^^Không thích là tính tiền giữ xe 3k thoai :(, , , , ,",2,3,3,3,1,0,0,3,0,0,0,0
"-Trong hình là gà bó xôi truyền thống :280k-Xôi thơm dẻo, bên ngoài giòn rụm.-Gà dai dai ướp thấm gia vị.-Order trước 2 tiếng là giao tới nhà liền, nóng hổi trong hộp.-Bao bì, hộp đựng sạch sẽ, chắc chắn; được thêm bao tay nilong để xé gà nữa. 😍-Nhân viên chuyên nghiệp, dễ thương.-Order trên flyfood.vn để tham khảo thêm menu.-Nhà mình đặt 2 con gà, 1 súp, 1 bò hầm tiêu,1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha.-Bò hầm tiêu xanh ngon lắm lắm, gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền Nam; súp đậm đà có thịt, nấm, trứng cút nhiều lắm.-Lần sau là thử thêm nhiều món khác nữa nè hie hie😙😛🤗, , , ,",3,0,3,3,0,0,0,0,0,3,0,3
"-Vị trí: Quán nằm ngay mặt tiền đường Sư Vạn Hạnh khá dễ tìm. -Đồ ăn: bánh bèo, bánh bột lọc, bánh nậm, bánh ít ram, nem huế, chả huế các loại. Bánh thơm, ngon, có điều nước mắm hơi ngọt.-Giá cả: 30k/ mâm bánh bèo chén. Dĩa thì 24k  như hình chưa có nem, chả. -Không gian: quán bình dân, hơi chật, trời này mà ngồi hơi bị nóng, quán đông, hay bị thiếu bàn. Ko có ai coi xe., , , , ,",2,0,3,0,1,0,0,3,0,0,1,2
". Bên ngoài giòn giòn ăn cực thích. Bên trong cơm nhật với dưa leo, trứng, thanh cua mềm rất tuyệt",0,0,0,0,0,0,0,0,0,0,0,3
". Cấp độ 3 đã đủ sức chịu đựng của mình. Ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột😢😢 vừa khẩu vị của mỗi người . Không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách Hường Cuốc,",0,0,0,0,0,0,0,0,0,0,2,3
". Gà rán giòn ướp vị chua cay rất ngon, bánh ăn kèm giòn và thơm mùi bơ,",0,0,3,0,0,0,0,0,0,0,0,3
". Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn ❤️ Tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn., ,",3,0,3,0,0,0,0,0,0,0,0,3
". Mì Cay Hàn Quốc êiii ❤️. Mì dai nah ❤️. Nhiều hải sản nah ❤️ (tôm, mực,...). Nước dùng bao cay nah ❤️❤️. Đáng đồng tiền lúmm nha ❤️❤️. Phục vụ nhiệt tình 🌸. Giá cả hợp lí neh, , ,",3,0,3,3,0,0,0,0,0,0,0,3
". Mì hến Bắc Hà. Nước hến ngon một số chỗ có dùng bột ngọt cho nào nước mì làm mất đi vị ngọt tự nhiên của hến, ko quá cay như bên mì hến Ngô Văn Sở. Quán mát, rộng rãi 😊,",0,0,0,0,0,0,0,0,0,0,3,3
". Xem qua chương trình ẩm thực của nghệ sĩ Việt Hương mình biết được quán này. Mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau, vì số lượng khách động nên việc ngồi chờ món lâu hơn. 😤 . Vỏ bánh tráng mềm dai, bánh nóng nên ăn liền sẽ ngon hơn 😋, ,",0,0,0,1,0,0,0,0,0,3,0,3
"(+) Phở cuốn khá chắc, nhân nhiều, nước chấm ngon, 1 người ăn phần là vừa, ko no mấy.(-) Bánh phở hơi cứng, ko dai.Trong 2 loại mình thích pc nem hơn, nem nướng đậm vị, dùng với thêm nước chấm là tuyệt!PC Nem-45k/pPC Tôm thịt-38k/p, ,",2,0,3,0,0,0,0,0,0,0,0,2
"[ Bánh cuốn Tây Hồ - Chất lượng tuyệt vời ]Địa chỉ: 127 Đinh Tiên Hoàng, Đa Kao, Q1. Quán này nằm trên đường Đinh Tiên Hoàng cũng đã rất lâu & nổi tiếng, nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây*** Về không gian:Không gian quán hơi nhỏ, nhiều khi vào giờ cao điểm, khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi :(Và không có máy lạnh, chỉ có quạt máy nên cũng hơi nóng 1 chút*** Về thức ăn:1 phần bánh cuốn tuy không nhiều, nhưng vừa đủ no & cực kì chất lượng, chất lượng từ hình thức đến mùi vị- Hình thức trang trí bắt mắt- Mùi vị đậm đà với chả quế & chả lụa*** Về cung cách phục vụCó thể nói ở đây nhân viên phục vụ cũng khá chiều khách, tận tình *** Về giá cả:Có vẻ hơi đắt, nhưng mà tiền nào của nấy, bánh cuốn ở đây đã nổi tiếng từ lâu đời, nên chuyện giá đắt như vậy cũng chấp nhận được :)) Nói chung là nên dùng thử bánh cuốn tại đây, các bạn sẽ ghiền đấy !, , , , , ,",2,0,3,3,0,0,0,2,0,3,1,3
"[BÁNH ĐA TRỘN - B6 TT NGHĨA TÂN]Điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi, kiểu ăn luôn và ngay mới ngon. Vắt tầm 3 quả quất mới đáp ứng độ chua của mình. Bánh đa mềm mà vẫn dai, giò tai cắt miếng to ăn giòn giòn, miếng chả cá hơi còi cọc. Ở đây hơi giống Phùng Hưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé30k/bát đầy đặn, nước dùng khá thơm dậy mùi cua. 3k trà đá, 10 nghìn 3 cốc =)), , ,",3,0,2,0,0,0,0,0,2,0,0,3
"@meete.co đang khuyến mãi combo mì udon hải sản vs bánh mochi chỉ 49k. Mì udon ở đây hơi ít được khoảng nước dùng nấu sệt sệt, đậm mùi hải sản, có vị cay khá ít nên phù hợp vs những ng k thích ăn cay nhiều như mình. Tô mì khá chất lượng có hẳn 1 con ghẹ to luôn o.O cơ mà con ghẹ mình ăn hơi ít thịt. Tô mì vừa dc nấu, ăn nóng hổi. Quán đi tối hơi bị đông đấy. đi trưa như mình vắng cho khỏe. Bánh mochi ăn oke. Quán có bán sushi giá cũng khá oke cho sinh viên nữa, ,",3,0,2,0,0,0,0,0,0,0,0,3
"@meetesaigon đang có khuyến mãi mua 1 gà trái tim 60k được tặng 1 món đồng giá hoặc thấp hơn 😚😚Gà ở đây cũng làm theo style gà Đài Loan giống của oppa chicken nhưng so sánh thì vị bên đây đậm đà ăn thích hơn. Gà nóng hổi nên lớp da cắn vào giòn rụm. Gà trái tim chủ yếu là từ phần thịt ức gà thường ăn sẽ khô, bở nhưng ở đây thịt vẫn rất mềm và dai. Gà viên 45k gia vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình k thích lắm :( . Bánh khoai tây 28k vì được ướp hẳn gia vị vào trong nên rất ngon tiếc là khoai tây hơi bị bở :(( . Trà bí đao uống ngọt thanh rất thích hợp để giải nhiệt sau khi ăn đống đồ chiên này 🙄Điểm trừ của quán là k có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán :((( . Giá cả rất sinh viên 15 - 60k cho 1 quán ở Q.1 như thế này., , , , ,",3,0,2,0,0,3,3,3,0,0,0,3
"""* Cập Nhật Giá : 1/12/2015 🐸 - Phần 1 con + cháo => 35.000₫ - Phần 2 con + cháo => 70.000₫ - Phần 3 con + cháo => 90.000₫* Có """" Nước Sâm ( 5k ) "", Nước ngọt ( tuỳ loại ) , Trà Đá ( 2k )🎀 Quán lề đường, sạch sẽ, nấu ếch tại chỗ cho khách xem. Nhưng phụ vụ hơi lâu, gọi tính tiền cũng lâu nữa 😞 🎀 Ăn được . Ngon !, , , , , ,",2,3,3,1,0,0,0,0,2,0,2,3
"* Quán nằm ngay mặt tiền đường Kì Đồng quận 3, cực kì dễ kiếm* Quán có không gian rộng rãi với 2 lầu và 1 trệt* Món đặc trưng ở đây là bún bò, siêu ngon và đúng chuẩn bún bò Huế, , ,",0,0,3,0,0,0,0,3,0,0,3,3
"#3sacthai khác nhau, cơ mà nhìn kiểu nào cũng ngon không tưởng.,",0,0,3,0,0,0,0,0,0,0,0,3
"#chungban phở thìn quá nổi tiếng rồi. Từ sáng sớm đến tối muộn lúc nào cũng nườm nượp khách. Chỉ có tái lăn. Vị thịt bò xào và nước dùng đặc biệt, không lẫn đi đâu được. Siêu nhiều thịt bò. Vừa no vừa ngon., ,",0,0,3,0,0,0,0,0,0,3,0,3
"#dimsum cho bữa sáng. Tân Sanh Hoạt ở NTMK. Quán bình dân nhưng giá nhà hàng :)) Phần này 2ng mà giá 250-300k. Lúc tính tiền có tí choáng :)) Không dở nhưng cũng k xuất sắc, k xứng với số tiền bỏ ra., , , ,",1,0,0,0,0,0,1,2,0,0,2,2
"#firstmealoftheyear#vinciboTô này là tô lớn 25k ăn vậy với rau thôi không có bánh tráng như quán nào đó mình từng ăn. Thật ra thấy vậy cũng vừa rồi :3 quán do cô này ở Quảng Ngãi vô bán, mọi người hiền lắm :)) có ăn thêm Don 15k nữa mà quên chụp :)) à bàn có cả Greencross để rửa tay nữa, , ,",2,0,2,3,0,0,0,0,0,0,3,0
"#oursaigon con mực này nhìn nhỏ vậy thôi chứ to lắm, cắn phát đã lắm, cơ mà 2,3 con thì chắc là còn đã hơn. :,",0,0,3,0,0,0,0,0,0,0,0,3
"#oursaigon được ướp khá đậm đà, cơ mà ko thích ăn cái gì nhìu xương nên mình chỉ ăn 1 cái cho zui thôi. :d",0,0,0,0,0,0,0,0,0,0,0,3
"#oursaigon lần nào ăn ở đây xong về cũng no vật vã, sườn ướp rất đều, vừa miệng và quan trọng hơn là rất TO. :,",0,0,3,0,0,0,0,0,0,0,0,3
"#oursaigon Món chủ đạo của quán vẫn là món phở, mà có sự kết hợp công thức với mì udon truyền thống của Nhật Bản, nên cho ra đời nhìu loại khác nhau",0,0,3,0,0,0,0,0,0,0,0,0
"#oursaigon Nhiêu đây mà chỉ có 88k thôi ấy, đi với bạn bè hay người yêu dễ share tiền, hị hị",3,0,0,0,0,0,0,0,0,0,0,0
"#oursaigon sự kết hợp đặc biệt từ Bánh Oreo Béo Ngậy cùng Đậu Phộng giòn giòn bùi bùi. Miễn chê luôn nhé,",0,0,3,0,0,0,0,0,0,0,0,3
"#oursaigon sườn to quá xá! ăn còn có trà tắc miễn phí, trong phòng máy lạnh, ngay trung tâm quận 1 mà giá chỉ 25 - 50k thôi nha., , , ,",3,0,3,0,0,0,0,3,3,0,3,0
"#oursaigon thịt xiên nướng đồng giá 5k cơ mà ăn ko quá ít. 😘😘😘 quán ngồi siêu mát mẻ luôn., ,",3,0,2,0,0,0,0,0,0,0,3,0
"#oursaigon thơm lừng, đánh thức các giác quan. :)",0,0,0,0,0,0,0,0,0,0,0,3
