comment,label
lỗi phầm mềm sạc pin không vào đem ra bảo trì thì cài lại máy _ vẫn không hết lỗi mua quả máy 4 tr100k ram 3 gb về để chơi pubg negative vãi chưởng,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral')]"
máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2 tr mà ưng ghê luôn á mọi người nên mua,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
sạc pin 100 rồi để không 10 h mà không hao nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,"[('BATTERY', 'Positive')]"
cho mình hỏi tắt quả ng cáo trên điện thoại ạ mới mua về vài hôm mà nó cứ tụ phát quả ng cáo hoài ngày khi mình đã khóa màn hình cũng chạy quả ng cáo mong được phản hồi,"[('PERFORMANCE', 'Negative')]"
tất cả mọi thứ đều ổn hết màn hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp nhưng chỉ tiết ở phần thiết kế phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy tay cứ bị đè lên loa khi sử dụng í cứ lo chính bản thân đè nhiều quá sẽ làm loa hư thêm 1 cái nhỏ xíu x yêu mới mua hôm qua được giảm 500000 đ nay lên xem tuột xuống đươc giảm hẳn 1000000 đ tức ghê,"[('SCREEN', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Neutral'), ('PRICE', 'Negative'), ('GENERAL', 'Positive')]"
điện thoại thiết kế sang trọng camera chụp ảnh rất tốt pin dùng ổn định máy dùng mượt không bị đơ,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive')]"
máy màn hình lớn nhận diện khuôn mặt nhanh trong được trời sáng cấu hình tạm ổn cho các tác vụ cơ bản pin trâu nv tgd nhiệt tình còn ctkm tặng tai nghe thì tgd chưa làm tốt ra mua máy thì chi nhánh tai nghe khg có hàng phải đợi 1015 ngày tgd rút kinh nghiệm về các ctkm kiểu như vậy,"[('SCREEN', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Neutral'), ('SER&ACC', 'Neutral')]"
pin trâu giá rẻ cấu hình ngon mượt mà máy chơi game rất tốt nhân viên tư vấn nhiệt tình,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('SER&ACC', 'Positive')]"
không nên mua không tương xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu,"[('CAMERA', 'Negative'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative')]"
cập nhật lại ổn nhưng camera xấu xấu tệ hy vọng cập nhật lại camera tốt hơn cho bản sau,"[('CAMERA', 'Negative'), ('PERFORMANCE', 'Positive')]"
mới dùng được tầm nửa tháng thấy khá là ok mượt chơi game mức độ mặc định cũng ok pin được lâu sạc nhanh,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mình mua máy samsung a20s được 4 ngày rồi nói chung máy xài ổn trong tầm giá pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày chụp hình đẹp máy rất mượt chỉ có lâu lâu cảm biến vân tay không được nhạy ngón tay hơi ướt xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót xíu mình làm trong môi trường chăn nuôi bụi cám này kia nhiều,"[('CAMERA', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Negative')]"
tại sao thì thoảng tôi mở máy thì phải đợi 510 s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
iphone luôn ổn định thiết kế không có gì mới nhưng vẫn chưa lỗi thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài chính eo hẹp đang tich góp để cuối năm rước một e zìa quê luôn,"[('BATTERY', 'Neutral'), ('DESIGN', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
đã mua và đag dùng rất thất vọng camera mờ hay nổi quả ng cáo pin xuống rất nhanh khuyên mọi người đừng mua,"[('CAMERA', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
lỗi lưu ảnh và viền 4 góc sáng khá là bực mong xiaomi việt nam sớm có cách khắc phục,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('SER&ACC', 'Neutral')]"
tôi nghĩ rằng nó được 4 star với 12 tr tầm giá rẻ rách nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star,"[('FEATURES', 'Negative'), ('PRICE', 'Positive')]"
máy dùng ok chỉ cài khóa mk vân tay khuôn mặt rồi mà khi mở lại không cần vuốt là mở được còn lại ổn bluetoth bình thường pin lâu nhạc hay,"[('FEATURES', 'Neutral'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive')]"
tgd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,"[('SER&ACC', 'Negative')]"
máy chs game khá mượt pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời star star star star star,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
điện thoại đẹp màn hình rõ nghe gọi ok chụp hình cũng đẹp giá tầm này thì quá ok rồi nhân viên tgd thoại sơn an giang thì cực kỳ dễ thương luôn,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('DESIGN', 'Positive'), ('PRICE', 'Positive'), ('SER&ACC', 'Positive')]"
xài ok máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào lao quá pin 4 k mà xài 1 ngày vầy là tốt rồi,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
với s20 ultra mức giá này bằng với opo find x2 thì nên mua find x2 vì opo hơn hẳn con ultra về cấu hình màn hình pin và tốc độ sạc ultra chỉ hơn được về chụp ảnh thôi còn opo find x2 max mượt max phê,"[('SCREEN', 'Negative'), ('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('SER&ACC', 'Negative')]"
máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10 p sau mới khỏi ding lại được tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative')]"
sau 1 tuần sử dụng thì mình đánh giá như sau về camera thì thấy cũng bình thường cam trước không được tốt lắm cấu hình không bằng con vsmart 5 tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp với camera thì nên mua còn mua để chơi game thì không nên lựa,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('DESIGN', 'Positive')]"
sản phẩm không có tai nghe hả bạn mình mua mà bên tgd noi la không có tai nghe có đúng vậy không ạ,[]
sản phẩm đẹp tuyệt vời hi vọng trong qtrinh sử dụng không xảy ra lỗi nv nhiệt tình ms,"[('DESIGN', 'Positive'), ('SER&ACC', 'Positive')]"
mua lâu rồi vân tay quá kém dí mãi mới mở được chơi game vd liên quân thì cảm ứng không nhạy rất kém máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý không phải do mạng hay fps lúc chơi loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì được,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('DESIGN', 'Positive')]"
máy rất ok mượt chơi game quá đỉnh có đều pin hơi tụt nhưng cho là ok vừa với túi tiền ok,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Negative')]"
không e10 bin rất tệ máy không xài vẫn tuột phần trăm vừa sạt đầy 100 pin để đó không xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia không làm dì mà sao mất nhỉ máy mua được 1 tuần rồi pin rất tệ,"[('BATTERY', 'Negative')]"
mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sử dụng rất mờ so với điện thoại khác bật sd,"[('SCREEN', 'Negative'), ('PERFORMANCE', 'Positive')]"
máy rất xịn thứ nhất chơi game mượt với chíp snap thứ hai pin trâu xài cả ngày mà còn 50 thư ba màn hình đẹp chụp hình sáng,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
sản phẩm tuyệt vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,"[('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mới mua hồi chiều minh vo cài đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,[]
mọi thứ xài thì khá ok chỉ có pin tuột nhanh kinh khủng không xài cũng tuột 100 chực được 5 p là còn 95 ý là không chưa game đó,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
thấy mọi người đánh giá nhiều lỗi nhưng đó là do phần mềm lúc các bạn đó mua máy là phần mềm chưa cập nhật mình mua máy được một tháng và dùng rất ok không một lỗi nào vì xiaomi đã up hạn sử dụng phần mềm fix lỗi hết rồi các bạn yên tâm mua nhé,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
dùng tạm tạm camera quá tệ phần mềm thì cài các ứng dụng mặc định như vinid mua sắm quá nhiều mua điện thoại để dùng cá nhân chứ không phải mua điện thoại để vinmart quả ng cáo giá rẻ không đáng bỏ tiền mua,"[('CAMERA', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
máy mượt pin trâu nhưng xạc pin mà nó cứ ấm ấm z có nguy hiểm không ad ngoài ra thì rất tốt,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
cho e hỏi máy mua được một năm rồi nhưng dạo gần đây pin hay tụt nhanh lắm giúp em cách khác phục với,"[('BATTERY', 'Negative')]"
sản phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và cal ò duty mobile đều max setings không gật negative nào hết,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mới mua được 15 ngày xài tạm ổn nhưng pin tụt nhanh máy sạc bị nóng mới mua mà chưa gì máy đã bị nóng còn lại ổn,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
pin sạc 3 tiếng từ 15 100 pin trâu camera chụp hình khá đẹp trong điều kiện sáng tốt có chế độ chụp cảnh buổi tối khá tốt cảm biến vân tay rất nhạy những thao tác xem phim nghe nhạc lướt web đều mượt quay phim chống rung tốt loa vừa đủ nghe ấm màn hình hiển thì rất nét mình không biết là do rổ hay gì đây là những đánh giá sau 2 ngày mình sử dụng đây là điện thoại tốt trong tầm giá trên 3 triệu không nên đòi hỏi nhiều về game hay những thao tác nặng hơn,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
tốt máy dùng mượt pin thì hơi kém tí nói chung ok nhân viên nhiệt tình cám ơn thế giới di động,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
quá thất vọng mời mua 2 ngày mà xài cảm giác quá tệ luôn thua cả con gì7pro mua năm 2017 pin thì nhanh hết chỉ vào zalo facebook thôi xài 1 buổi bình thường mà hết 50 pin còn bắt sóng wifi 3 g kém chất zalo có nhiều lúc không nhận được tin hoặc lâu mới nhận được còn kiểu dáng camera tốc độ thì ok đề nghị samsung xem lại,"[('CAMERA', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive'), ('GENERAL', 'Negative')]"
sản phẩm rất tốt chơi game rất tốt pin trâu mỗi tội ứng dụng của máy dính quả ng cáo quá nhiều trong phần cài đặt cũng có quả ng cáo của g chèn vào,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
sai lầm khi mua điện thoại này ghê ă nghe nv tư vấn xoq mua lun về xem lại cấu hình mới thấy chán tầm giá này mà màn hình chỉ mức hd sử sụng chip rất yếu chơi game thì giật liên tục,"[('SCREEN', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative')]"
mình mới mua chiếc điện 3 gb chiếc màu tím với mức giá như thế này thì các bạn nên mua một chiếc cho bản thân chơi game mượt loa tốt wifi ổn các tác vụ bình thường thì ok,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
thiết kế đẹp so với giá thành thì chất lượng cực ổn mình đi du lịch cầm con này theo selfie rất ưng ý,"[('CAMERA', 'Positive'), ('DESIGN', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
sao mình xài được 1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn hình bị tắt,"[('FEATURES', 'Neutral'), ('DESIGN', 'Negative')]"
mua máy được 1 tuần đối với 6 triệu thì máy quá ok mọi thứ đều hoạt động mượt mà đặc biệt pin trâu xài 2 ngày mới cần sạc pin lại mình dùng toàn 3 g không dùng wifi ít chơi game chỉ facebok zalo youtube thỉnh thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà không hết được xứng đáng số tiền bỏ ra,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive')]"
điện thoại khi tin nhắn tới lâu lâu sẽ nghe nó bị rè rè âm thâm tin nhắn như bị đè nén đi,"[('FEATURES', 'Negative')]"
ứng dụng văn phòng rất chán đặc biệt ng sử dunbgì email làm việc như mình còn chơi game với lướt web thì chấp nhận được pin khỏe,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Negative')]"
khá ok ngon về mọi thứ màn mượt pin khỏe sạc max sướng cảm giác phê lòi hơn hẳn s về mọi mặt positive,"[('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
hên ghê lúc mua em này được giảm 700 k giá ưu đãi 2 tr990 mua 2 ốp lưng giá 90 k thêm khách hàng thân thiết giảm thêm 150 k nữa nên tậu luôn cái tai phone nói gì nói chứ thấy máy chạy mượt mà sao nhiều bạn lại chê mình không chơi game nên như vậy là quá ok rồi nhân viên nhiệt tình vui vẻ,"[('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua cách đay mấy ngày thật sự rất tệ load hình quá chậm và nhảy màn hinhloa nghe nhạc qua nhỏ,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
máy dùng tạm được đang dùng quen ip sáng máy này thì không ưng về cảm ứng và chất lượng video xem nhiều gây nhức mắt được cái pin khỏe dùng cả buổi sáng hết 8,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('GENERAL', 'Neutral')]"
đánh giá sau 1 năm sử dụng thì chơi game cực đã vì pin trâu sạc nhanh hiệu năng tốt chụp ảnh ở mức bình thường đủ dùng để làm việc chứ không dùng vào việc sống ảo hay chụp chuyên nghiệp được up hạn sử dụng phần mềm thường xuyên nhược điểm lớn nhất của phần thiết kế là camera lồi quá nên bị xước màn hình siêu bền với gorilas 3 điều ghét nhất ở máy này đó là wifi hay bị negative kết đáng mua trong tầm giá này,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy bỏ túi hay bị chụp màn hình loạn xì ngầu máy mới nhưng loa rất rè có ai bị giống mình không,"[('FEATURES', 'Negative')]"
đừng có mua nếu ai đó đang dự định mua sản phẩm xài 12 tháng có dấu hiệu đơ máy cảm ứng lâu lâu không nhạy nói chung rất thất vọng khi mua nói trước kẻo mốt ôm hận,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
sóng sánh kém lắm giữa đất thị trấn mà chỉ được 23 vạch wifi vào phòng trong cách khoảng 5 m mà bắt được 3 vạch đã gửi đi hãng thẩm định pin qua đêm tắt hết ứng dụng mạng mà sáng dậy tụt 12 chơi liên quân đôi khi vẫn bị khựng lại chút được cái màn nét,"[('SCREEN', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
mọi thứ đều ổn trừ đánh thức cảm ứng màn hình khi lên lúc thì không phải xài nút bấm nguồn,"[('FEATURES', 'Negative'), ('GENERAL', 'Positive')]"
huawei p30 lite sẽ sở hữu màn hình 615 inch độ phân giải ful hd với phần không ch kiểu giọt nước tích hợp chip kirin 710 viên pin dung lượng 3240 mah hỗ trợ sạc nhanh 18 w và được trang bị cụm 3 camera 20 16 2 mp,"[('SCREEN', 'Neutral'), ('CAMERA', 'Neutral'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Neutral'), ('DESIGN', 'Neutral'), ('SER&ACC', 'Neutral')]"
ok tất mỗi tội loa hơi nhỏ 1 tí và màn hình xem phim không mỏi mắt nhưng hình ảnh không được mượt cho lắm còn chíp thì antutu được 288 k điểm mạnh hơn hẳn 730 g,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mình cảm thấy opo không mượt như quả ng cáo máy mình sử dụng bị lỗi ứng dụng sau 15 ngày và phải đổi máy khác chụp hình mặt như bị sưng không đẹp không đáng bỏ ra gần 13 triệu,"[('PERFORMANCE', 'Negative'), ('DESIGN', 'Negative'), ('PRICE', 'Negative'), ('SER&ACC', 'Negative')]"
tôi rất thích sản phẩm này với tâm già 8990 khó có còn nào lại nó vẻ ngoài hình lẫn chức năng,"[('DESIGN', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
pin tuột hơi bị nhanh đấy chỉ lướt mạng xã hội bật tiết kiệm pin mà có 10 p từ 90 còn 84 cảm biến vâng tay tạm thôi chụp hình đẹp chỉ không hài lòng về pin của con này thôi bù lại sạc nhanh nên cũng đỡ,"[('CAMERA', 'Positive'), ('FEATURES', 'Neutral'), ('BATTERY', 'Neutral')]"
cảm nhận của mình khi sử dụng a70 thật sự quá tốt mình cũng sợ lỗi này nó khi tham khảm nhiều ý kiến nhưng khi mua rồi thật sự không có gì để chê trách pin trâu màn đẹp xem phim chơi game rất thích đặc biệt viền bezel của máy rất mỏng ae nào còn lăng tăng hay vẫn tham khảm thì mình nói thật nên mua mà trải nghiệm mới biết được máy như thế nào đâu phải một máy lỗi là tất cả đều bị lỗi đâu riêng mình đánh giá e này rất tốt so với tầm tiền này bỏ ra nhé,"[('SCREEN', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy ok chỉ có hơi thất vọng về pin và không có tấm dán màn mới dùng tấm dán film cảm giác không mượt thái độ phục vụ rất tốt cho 4 star,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive'), ('SER&ACC', 'Neutral')]"
máy mới nghe gọi to rõ ok nhân viên tgd rất nhiệt tình rất thích máy tuy nghệ gọi những đây đủ chức năng nghe nhạc to khá hay,"[('FEATURES', 'Positive'), ('SER&ACC', 'Positive')]"
máy dùng ok pin trâu nhân viên tư vấn nhiệt tình chất lượng đúng với giá thành,"[('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
quá ngon mọi người ơi ủng hộ bác vượng đi nào positive pin trâu mượt mà nhiều tính năng thú vị đặc biệt là trả lời tin nhắn nhanh như trên wp 10,"[('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
dùng được 3 ngày mọi trải nghiệm tuyệt vời pin ổn màn hình rất tốt không hề xấu hay rổ duy nhất khoảng chụp ảnh xóa phông vật thể làm chưa tốt chắc do thiếu camera tele,"[('SCREEN', 'Positive'), ('CAMERA', 'Negative'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive')]"
điện thoại mọi thứ đều ổn chỉ có cảm biến vân tay và pin hơi tệ so với giá này,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
ngày đầu mua về là đã bị lỗi mở mạng bị đơ dag nhắn tin hoặc đang xem youtube facebook lướt nhảy out là ngoài nhiều lần như vậy ai cũng nói màng amoled đẹp thấy chả có gì là đẹp chụp hình thì tệ xấu nhất là gọi video thua xa con opo f7 nửa ai mà mua nhu cầu chụp hình thì đừng mua dòng này bin 4015 cũng như bằng 3600 của f7 thôi chỉ được cái sax nhanh và đã đem đi đỗi,"[('SCREEN', 'Negative'), ('CAMERA', 'Negative'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
